Название ТЦ;№ Павильона;Этаж;Статус;Площадь;Стоимость за кв.м;Кооф. Добавочной стоимости
Мега Белая Дача;88А;1;Свободен;75;3308;0,1
Авиапарк;40А;3;Забронировано;96;690;1,1
Мега Белая Дача;76Б;2;Удален;199;4938;0,9
Рио;61А;1;Арендован;186;2115;0,9
Гранд;58В;4;Арендован;98;1306;1,9
Лужайка;7А;2;Забронировано;187;2046;1,0
Кунцево Плаза;13Б;1;Забронировано;141;1131;0,1
Мозаика;60В;2;Забронировано;94;361;0,3
Гранд;56А;1;Арендован;148;1163;0,6
Гранд;63Г;2;Забронировано;153;3486;0,7
Бутово Молл;8Г;1;Арендован;122;2451;1,5
Гранд;94В;3;Свободен;132;4825;2,0
Шоколад;87Г;1;Забронировано;174;793;1,5
АфиМолл Сити;93В;1;Арендован;165;4937;0,8
Европейский;10А;3;Забронировано;168;1353;1,7
Шереметьевский;53Г;1;Арендован;99;3924;1,0
Шереметьевский;73В;2;Свободен;116;3418;0,0
Мега Химки;89Б;1;Свободен;92;562;0,4
Москва;44Г;2;Забронирован;66,6;870.3;1,0
Вегас Кунцево;65А;2;Забронирован;95;1381;1,7
Город Лефортово;16Г;2;Удален;150;747;0,8
Золотой Вавилон Ростокино;61Б;1;Свободен;58;1032;1,7
Шереметьевский;34Б;4;Забронировано;102;4715;0,3
Шереметьевский;91Г;3;Арендован;171;1021;1,2
Ашан Сити Капитолий;70Г;1;Забронировано;83;2246;1,4
Черемушки;10А;1;Забронирован;187;2067;0,0
Филион;80Г;1;Забронировано;117;1049;1,3
Весна;2Б;1;Удален;176;1673;1,7
Гудзон;41А;1;Свободен;108;344;0,0
Калейдоскоп;16Г;2;Арендован;125;1037;1,3
Золотой Вавилон Ростокино;13Б;2;Свободен;161.5;2775.7;0,4
Хорошо;83Г;2;Арендован;85.5;4584;0,3
Щука;9Г;1;Забронировано;131;2477;1,5
Атриум;49Г;1;Арендован;164;2728;0,9
Принц Плаза;1Г;1;Удален;157;1963;1,6
Золотой Вавилон Ростокино;37А;3;Арендован;187;3173;0,3
Золотой Вавилон Ростокино;38Г;4;Арендован;97;1364;0,5
Реутов Парк;27В;1;Забронировано;96;3134;0,1
ЕвроПарк;67Б;1;Удален;55;4442;0,8
ГУМ;86Г;1;Свободен;58;3707;0,5
Райкин Плаза;98А;3;Забронировано;172,5;4951;1,1
Новинский пассаж;11Г;2;Арендован;194;827;0,6
Фестиваль;42В;1;Свободен;166;4216;0,7
Красный Кит;55А;2;Забронировано;127;703;1,0
Фестиваль;6Б;2;Свободен;119;3262;1,9
Отрада;15А;1;Забронировано;90;1569;1,3
Фестиваль;27Б;3;Арендован;132;627;0,4
Фестиваль;65Б;4;Удален;60;3052;0,6
Времена Года;26А;1;Свободен;95;670;1,7
Времена Года;53В;3;Арендован;132;510;1,2
